1e-12  0.723391        6.23811e-05
1e-10  0.486748        8.29351e-05
1e-8   0.267455        9.24698e-05
1e-6   0.074503        0.000118571
1e-5   0.00248371      9.04821e-05
1e-4   0.00224637      0.000214854
1e-3   0.00189402      0.000183342
1e-2   0.00231926      0.000203885
1e-1   0.00207131      0.000192185
1      0.0022751       0.000126089
1e1     0.0017724       0.000140557
1e2    0.00212698      0.000173774
1e3    0.00204722      0.000179926
1e4    0.00217777      0.000200383
1e6    0.00199419      0.000170285
1e8    0.00213621      0.000190693
1e10   0.00233353      0.000176225
1e12   0.0023343       0.000173367
