1e-12 0.453707        6.37074e-05
1e-10 0.272815        7.28298e-05
1e-8  0.1158           7.89371e-05
1e-6  0.0124622       0.000126214
1e-5  0.00283836      0.000231443
1e-4  0.00218249      0.000238382
1e-3  0.00223843      0.000333632
1e-2  0.00176918      0.000236572
1e-1  0.00193826      0.000162336
1     0.00269865      0.000400639
1e1   0.00247157      0.00031851
1e2   0.0025873       0.00036195
1e3   0.00245787      0.000287263
1e4   0.0025976       0.000424671
1e6   0.00277198      0.000363536
1e8   0.00314813      0.000482381
1e10  0.00295509      0.000404222
1e12  0.00230741      0.000306117
