1000	4.00713	0.00616553
2000	3.92288	0.00840707
3000	3.85294	0.00806686
4000	3.78784	0.0102885
5000	3.7301	0.00857185
6000	3.6865	0.0106878
7000	3.61996	0.0113898
8000	3.58402	0.00866009
9000	3.54663	0.0085968
10000	3.50602	0.00928575
11000	3.46306	0.00848407
12000	3.41687	0.00995539
13000	3.38235	0.00955901
14000	3.34108	0.0100019
15000	3.31487	0.0124629
16000	3.28541	0.0125236
17000	3.25765	0.0123364
18000	3.21922	0.0101216
19000	3.17807	0.0109583
20000	3.12912	0.0129739
21000	3.09851	0.0131332
22000	3.08179	0.0130826
23000	3.04644	0.012499
24000	3.02228	0.0115516
25000	2.98667	0.0104271
26000	2.94874	0.0108062
27000	2.9288	0.010591
28000	2.90667	0.0120744
29000	2.87864	0.0132498
30000	2.85726	0.0126016
31000	2.81788	0.0126258
32000	2.78882	0.0130076
33000	2.76827	0.0128117
34000	2.74588	0.0127965
35000	2.73036	0.0116669
36000	2.70262	0.0115147
37000	2.66734	0.0111859
38000	2.63457	0.0134845
39000	2.59963	0.0126678
40000	2.57804	0.0105591
41000	2.5617	0.010873
42000	2.54191	0.0120951
43000	2.52246	0.0116948
44000	2.49162	0.0138275
45000	2.46402	0.0142033
46000	2.44308	0.0141882
47000	2.41239	0.0119991
48000	2.38589	0.0113621
49000	2.3693	0.0120028
50000	2.34636	0.0131012
51000	2.32075	0.0159295
52000	2.29577	0.0149593
53000	2.26992	0.0141697
54000	2.24796	0.0140026
55000	2.23116	0.0143124
56000	2.21828	0.0145792
57000	2.203	0.0142215
58000	2.18598	0.0129627
59000	2.16484	0.0117924
60000	2.14184	0.0119378
61000	2.12913	0.0125209
62000	2.10736	0.013065
63000	2.08405	0.0126181
64000	2.06473	0.0124774
65000	2.05437	0.0128675
66000	2.04143	0.012771
67000	2.02847	0.0126431
68000	2.01342	0.0112713
69000	2.00005	0.0116865
70000	1.98468	0.0130473
71000	1.96202	0.0145535
72000	1.94552	0.0147667
73000	1.92926	0.0154899
74000	1.91556	0.0147532
75000	1.90125	0.0136645
76000	1.88881	0.0132266
77000	1.8734	0.0127749
78000	1.84914	0.0121767
79000	1.82657	0.0108049
80000	1.80392	0.0123347
81000	1.78992	0.0133019
82000	1.77453	0.012593
83000	1.76093	0.0124181
84000	1.74416	0.0138943
85000	1.73178	0.0139978
86000	1.7154	0.0129687
87000	1.68816	0.0122951
88000	1.66322	0.0122751
89000	1.64955	0.0116417
90000	1.63394	0.0115193
91000	1.6205	0.0119782
92000	1.60393	0.0128169
93000	1.59	0.0131978
94000	1.57118	0.0131438
95000	1.55873	0.0123928
96000	1.53818	0.0112221
97000	1.52546	0.0114139
98000	1.51318	0.0111995
99000	1.50262	0.0105949
100000	1.4917	0.0105601
110000	1.36838	0.0110988
120000	1.26318	0.0106971
130000	1.14641	0.0108856
140000	1.02762	0.0103229
150000	0.924757	0.0105083
160000	0.843859	0.00787281
170000	0.787783	0.00661339
180000	0.732372	0.00281066
190000	0.725977	0.00844046
200000	0.741895	0.0138902
210000	0.857542	0.0223638
220000	1.04443	0.0254799
230000	1.21482	0.0326124
240000	1.39214	0.0279054
250000	1.47489	0.0286918
260000	1.59167	0.0262866
270000	1.72616	0.0318231
280000	1.90943	0.0326565
290000	2.05381	0.0282646
300000	2.19665	0.0292233
310000	2.30365	0.030595
320000	2.39616	0.0358586
330000	2.54168	0.0382439
340000	2.66527	0.0321826
350000	2.81373	0.0315698
360000	2.92128	0.0244255
370000	3.04735	0.0347075
380000	3.23863	0.035771
390000	3.34191	0.0365345
400000	3.46251	0.0410263
410000	3.60785	0.0410375
420000	3.72534	0.0351834
430000	3.85448	0.0345325
440000	3.94882	0.0346113
450000	4.02358	0.0369821
460000	4.12252	0.0287848
470000	4.26177	0.0341681
480000	4.39018	0.0399749
490000	4.51385	0.0402907
500000	4.59103	0.0403608
510000	4.67649	0.0438356
520000	4.81244	0.0404525
530000	4.93146	0.0349631
540000	5.00488	0.0429642
550000	5.09135	0.040667
560000	5.22711	0.0375128
570000	5.36608	0.0354051
580000	5.4624	0.0358102
590000	5.56536	0.0385957
600000	5.69921	0.0392805
610000	5.80716	0.0362269
620000	5.92553	0.0411516
630000	6.00738	0.0411636
640000	6.08911	0.0433977
650000	6.20475	0.0446064
660000	6.34948	0.0403293
670000	6.41294	0.0412677
680000	6.52795	0.0473553
690000	6.6216	0.0437488
700000	6.70096	0.0405526
710000	6.81027	0.0430564
720000	6.94492	0.0395705
730000	7.06267	0.0382773
740000	7.19439	0.0429753
750000	7.30128	0.0515598
760000	7.40515	0.0526198
770000	7.50596	0.0507565
780000	7.60726	0.0485702
790000	7.71941	0.0402674
800000	7.77327	0.041077
810000	7.85775	0.0401026
820000	7.90836	0.0438183
830000	7.9727	0.0410036
840000	8.09381	0.0442218
850000	8.17939	0.0487625
860000	8.23877	0.0470927
870000	8.34221	0.0401626
880000	8.44191	0.0366749
890000	8.51965	0.0361201
900000	8.63415	0.0426344
910000	8.72385	0.0420537
920000	8.81543	0.037825
930000	8.91407	0.0392089
940000	8.9931	0.0387313
950000	9.04967	0.0418591
960000	9.1462	0.0377942
970000	9.25099	0.0390011
980000	9.33191	0.0491406
990000	9.41802	0.0450036
1e+06	9.49579	0.0442791
1.01e+06	9.616	0.0489473
1.02e+06	9.67528	0.0470255
1.03e+06	9.73248	0.0460496
1.04e+06	9.7845	0.0405858
1.05e+06	9.86396	0.0389184
1.06e+06	9.97601	0.047381
1.07e+06	10.0539	0.0496806
1.08e+06	10.1484	0.0506079
