0	 188670  18867
0.693147 108310   10831
1.38629	 57180   8086.44
1.79176	 38080   3807.98
2.07944	 31420   3141.98
2.30259	 30530   3052.98
3.21888	 23740    1938.35
3.91202	20750    2074.98
4.31749	 18642.9 2228.22
4.60517	18016.7  2325.91
5.52146	15425    2438.86
6.21461	14650    2316.31
6.62007	14000    2213.53
6.90776	14050    3141.59
